SY070500,Ariha
SY070501,Ehsem
SY070502,Mhambal
SY070400,Jisr-Ash-Shugur
SY070401,Badama
SY070402,Darkosh
SY070403,Janudiyeh
SY070300,Harim
SY070301,Dana
SY070302,Salqin
SY070303,Kafr Takharim
SY070304,Qourqeena
SY070305,Armanaz
SY070001,Abul Thohur
SY070002,Bennsh
SY070003,Saraqab
SY070004,Teftnaz
SY070005,Maaret Tamsrin
SY070006,Sarmin
SY070000,Idleb
SY070200,Ma'arrat An Nu'man
SY070201,Khan Shaykun
SY070202,Sanjar
SY070203,Kafr Nobol
SY070204,Tamanaah
SY070205,Heish
SY080200,Quamishli
SY080201,Tal Hmis
SY080202,Amuda
SY080203,Qahtaniyyeh
SY080300,Al-Malikeyyeh
SY080301,Jawadiyah
SY080302,Ya'robiyah
SY080400,Ras Al Ain
SY080401,Darbasiyah
SY080000,Al-Hasakeh
SY080001,Tal Tamer
SY080002,Shadadah
SY080003,Markada
SY080004,Be'r Al-Hulo Al-Wardeyyeh
SY080005,Areesheh
SY080006,Hole
SY110300,Al-Thawrah
SY110301,Mansura
SY110302,Jurneyyeh
SY110200,Tell Abiad
SY110201,Suluk
SY110202,Ein Issa
SY110100,Ar-Raqqa
SY110101,Sabka
SY110102,Karama
SY110103,Maadan
SY130301,Shaqa
SY130302,Ariqa
SY130303,Little Sura
SY130300,Shahba
SY130200,Salkhad
SY130201,Qarayya
SY130202,Gharyeh
SY130203,Thibeen
SY130204,Milh
SY130000,As-Sweida
SY130001,Mazra'a
SY130002,Mashnaf
SY140200,Fiq
SY140201,Al-Butayhah
SY140000,Quneitra
SY140001,Khan Arnaba
SY140002,Al-Khashniyyeh
SY140003,Masaada
SY060303,Kansaba
SY060301,Salanfa
SY060304,Mzair'a
SY060302,Ein Et-teeneh
SY060300,Al-Haffa
SY060402,Fakhura
SY060403,Jobet Berghal
SY060400,Al-Qardaha
SY060401,Harf Elmseitra
SY060200,Jablah
SY060202,Qteilbiyyeh
SY060203,Ein Shaqaq
SY060204,Dalyeh
SY060201,Ein Elshaqiyeh
SY060205,Beit Yashout
SY060002,Rabee'a
SY060001,Bahlawaniyeh
SY060003,Ein El-Bayda
SY060005,Kiseb
SY060006,Hanadi
SY060004,Qastal Maaf
SY060000,Lattakia
SY020401,Aghtrin
SY020405,Suran
SY020400,A'zaz
SY020403,Mare'
SY020402,Tall Refaat
SY020404,Nabul
SY020203,Ar-Ra'ee
SY020206,A'rima
SY020200,Al Bab
SY020201,Tadaf
SY020205,Rasm Haram El-Imam
SY020202,Dayr Hafir
SY020204,Eastern Kwaires
SY020700,As-Safira
SY020702,Banan
SY020703,Hajeb
SY020701,Khanaser
SY020002,Tall Ed-daman
SY020006,Hadher
SY020005,Zarbah
SY020004,Daret Azza
SY020001,Atareb
SY020003,Haritan
SY020000,Jebel Saman
SY020800,Jarablus
SY020801,Ghandorah
SY020301,Bulbul
SY020303,Raju
SY020306,Ma'btali
SY020305,Sheikh El-Hadid
SY020302,Jandairis
SY020304,Sharan
SY020300,Afrin
SY020601,Lower Shyookh
SY020600,Ain al Arab
SY020602,Sarin
SY020500,Menbij
SY020501,Abu Qalqal
SY020502,Al-Khafsa
SY020503,Maskana
SY050200,As-Suqaylabiyah
SY050201,Tell Salhib
SY050202,Ziyara
SY050203,Shat-ha
SY050204,Madiq Castle
SY050300,As-Salamiyeh
SY050301,Eastern Bari
SY050302,As-Saan
SY050304,Oqeirbat
SY050500,Muhradah
SY050501,Kafr Zeita
SY050502,Karnaz
SY050100,Hama
SY050101,Suran
SY050102,Harbanifse
SY050103,Hamra
SY050400,Masyaf
SY050401,Jeb Ramleh
SY050402,Oj
SY050404,Wadi El-oyoun
SY050403,Ein Halaqim
SY040400,Ar-Rastan
SY040401,Talbiseh
SY040200,Al Quasir
SY040600,Al Makhrim
SY040601,Jeb Ej-Jarrah
SY040500,Tadmor
SY040501,Sokhneh
SY040300,Tall Kalakh
SY040301,Hadideh
SY040304,Hawash
SY040303,Nasra
SY040100,Homs
SY040101,Taldu
SY040102,Kherbet Tin Noor
SY040103,Ein Elniser
SY040104,Farqalas
SY040105,Raqama
