cityID,cityName,totalIncidents
SY070502,Mhambal,0
SY070403,Janudiyeh,0
SY070401,Badama,0
SY070400,Jisr-Ash-Shugur,0
SY070501,Ehsem,0
SY070300,Harim,0
SY070402,Darkosh,0
SY070301,Dana,0
SY070303,Kafr Takharim,1
SY070302,Salqin,0
SY070305,Armanaz,0
SY070002,Bennsh,0
SY070003,Saraqab,0
SY070201,Khan Shaykun,0
SY070200,Ma'arrat An Nu'man,0
SY070202,Sanjar,0
SY070005,Maaret Tamsrin,0
SY070203,Kafr Nobol,0
SY070304,Qourqeena,0
SY080200,Quamishli,0
SY070205,Heish,0
SY080203,Qahtaniyyeh,0
SY070500,Ariha,5
SY080300,Al-Malikeyyeh,0
SY080301,Jawadiyah,0
SY080400,Ras Al Ain,0
SY080000,Al-Hasakeh,0
SY080401,Darbasiyah,0
SY080202,Amuda,0
SY080201,Tal Hmis,0
SY070204,Tamanaah,0
SY070001,Abul Thohur,0
SY080001,Tal Tamer,0
SY080002,Shadadah,0
SY080003,Markada,0
SY070006,Sarmin,2
SY080004,Be'r Al-Hulo Al-Wardeyyeh,0
SY080005,Areesheh,0
SY110200,Tell Abiad,0
SY070004,Teftnaz,0
SY110301,Mansura,0
SY110201,Suluk,0
SY110302,Jurneyyeh,0
SY080302,Ya'robiyah,0
SY110202,Ein Issa,0
SY110100,Ar-Raqqa,0
SY110300,Al-Thawrah,0
SY110101,Sabka,0
SY110103,Maadan,0
SY130301,Shaqa,0
SY130302,Ariqa,0
SY130200,Salkhad,0
SY130201,Qarayya,0
SY130303,Little Sura,0
SY110102,Karama,0
SY130203,Thibeen,0
SY130204,Milh,0
SY130000,As-Sweida,0
SY130002,Mashnaf,0
SY130001,Mazra'a,0
SY070000,Idleb,123
SY140200,Fiq,0
SY140201,Al-Butayhah,0
SY140001,Khan Arnaba,0
SY140003,Masaada,0
SY140002,Al-Khashniyyeh,0
SY060303,Kansaba,0
SY060301,Salanfa,0
SY130202,Gharyeh,0
SY060304,Mzair'a,0
SY060302,Ein Et-teeneh,0
SY060300,Al-Haffa,0
SY060402,Fakhura,0
SY060403,Jobet Berghal,0
SY060400,Al-Qardaha,0
SY080006,Hole,6
SY060200,Jablah,0
SY060202,Qteilbiyyeh,0
SY060401,Harf Elmseitra,0
SY060203,Ein Shaqaq,0
SY060204,Dalyeh,0
SY060201,Ein Elshaqiyeh,0
SY060205,Beit Yashout,0
SY060002,Rabee'a,0
SY060006,Hanadi,0
SY060003,Ein El-Bayda,0
SY060004,Qastal Maaf,0
SY060005,Kiseb,0
SY020401,Aghtrin,0
SY130300,Shahba,15
SY020402,Tall Refaat,0
SY020203,Ar-Ra'ee,0
SY020404,Nabul,0
SY020206,A'rima,0
SY020200,Al Bab,0
SY020201,Tadaf,0
SY020205,Rasm Haram El-Imam,0
SY020202,Dayr Hafir,0
SY020204,Eastern Kwaires,0
SY020700,As-Safira,0
